GMID,Name,School,Year,PercShotS2P,S2PPer,PercShotl2P,L2PPer,PercL2PLC,PercShot3P,ThreePer,Perc3PLC
24183,Jahii Carson,Arizona State,2013,36.15%,48.94%,39.23%,31.37%,27.57%,24.62%,43.75%,34.78%
24184,Sam Thompson,Ohio State,2011,19.05%,50.00%,38.10%,37.50%,29.63%,42.86%,0.00%,64.29%
24184,Sam Thompson,Ohio State,2012,23.08%,58.33%,48.08%,28.00%,35.71%,28.85%,53.33%,34.09%
24184,Sam Thompson,Ohio State,2013,14.75%,88.89%,37.70%,26.09%,31.51%,47.54%,27.59%,40.28%
24184,Sam Thompson,Ohio State,2014,17.19%,63.64%,46.88%,26.67%,31.58%,35.94%,34.78%,27.38%
24185,LaQuinton Ross,Ohio State,2011,0.00%,NA,0.00%,NA,0.00%,100.00%,0.00%,37.50%
24185,LaQuinton Ross,Ohio State,2012,22.22%,58.33%,38.89%,28.57%,41.18%,38.89%,52.38%,31.82%
24185,LaQuinton Ross,Ohio State,2013,23.39%,62.07%,49.19%,40.98%,40.40%,27.42%,29.41%,28.81%
24186,Deuce Bello,Baylor,2011,30.77%,50.00%,7.69%,100.00%,10.00%,61.54%,12.50%,50.00%
24186,Deuce Bello,Baylor,2012,66.67%,66.67%,11.11%,50.00%,15.38%,22.22%,25.00%,44.44%
24186,Deuce Bello,Missouri,2014,36.36%,50.00%,18.18%,50.00%,25.00%,45.45%,60.00%,31.25%
24186,Deuce Bello,East Tennessee State,2015,28.07%,50.00%,21.05%,25.00%,36.36%,50.88%,24.14%,30.85%
24187,Erik Copes,George Mason,2011,33.33%,71.43%,66.67%,35.71%,29.17%,0.00%,NA,NA
24187,Erik Copes,George Mason,2012,31.37%,50.00%,68.63%,34.29%,33.98%,0.00%,NA,NA
24187,Erik Copes,George Mason,2013,14.81%,100.00%,85.19%,43.48%,46.00%,0.00%,NA,NA
24187,Erik Copes,George Mason,2014,0.00%,NA,100.00%,100.00%,14.29%,0.00%,NA,NA
24188,Ben McLemore,Kansas,2012,15.79%,66.67%,38.60%,45.45%,26.19%,45.61%,46.15%,20.16%
24189,Sheldon Mac,Texas,2011,16.44%,58.33%,45.21%,45.45%,34.38%,38.36%,32.14%,25.69%
24189,Sheldon Mac,Texas,2012,11.25%,77.78%,45.00%,33.33%,22.93%,43.75%,34.29%,28.93%
24189,Sheldon Mac,Miami (FL),2014,24.00%,76.67%,31.20%,41.03%,39.80%,44.80%,35.71%,38.36%
24189,Sheldon Mac,Miami (FL),2015,24.35%,75.00%,35.65%,53.66%,42.71%,40.00%,30.43%,34.33%
24190,Michael Chandler,Oregon,2014,80.00%,50.00%,20.00%,0.00%,16.67%,0.00%,NA,NA
24191,Zach Price,Louisville,2011,0.00%,NA,100.00%,50.00%,20.00%,0.00%,NA,NA
24191,Zach Price,Louisville,2012,0.00%,NA,100.00%,33.33%,37.50%,0.00%,NA,NA
24191,Zach Price,Winthrop,2015,41.67%,40.00%,58.33%,28.57%,28.57%,0.00%,NA,NA
24192,Malcolm Gilbert,Pittsburgh,2011,100.00%,100.00%,0.00%,NA,0.00%,0.00%,NA,NA
24192,Malcolm Gilbert,Fairfield,2013,50.00%,25.00%,50.00%,62.50%,29.63%,0.00%,NA,NA
24192,Malcolm Gilbert,Fairfield,2014,43.75%,28.57%,56.25%,0.00%,56.25%,0.00%,NA,NA
24193,Adjehi Baru,Charleston,2011,38.10%,62.50%,61.90%,26.92%,27.96%,0.00%,NA,NA
24193,Adjehi Baru,Charleston,2012,57.78%,69.23%,42.22%,26.32%,20.43%,0.00%,NA,NA
24193,Adjehi Baru,Charleston,2013,30.36%,52.94%,69.64%,41.03%,33.33%,0.00%,NA,NA
24193,Adjehi Baru,Charleston,2014,25.37%,41.18%,74.63%,44.00%,41.32%,0.00%,NA,NA
24194,Jamal Branch,Texas A&M,2011,NA,NA,NA,NA,0.00%,NA,NA,0.00%
24194,Jamal Branch,St. John's,2012,25.81%,50.00%,51.61%,31.25%,29.63%,22.58%,28.57%,46.67%
24194,Jamal Branch,St. John's,2013,5.26%,100.00%,78.95%,53.33%,28.85%,15.79%,0.00%,18.75%
24194,Jamal Branch,St. John's,2014,28.57%,50.00%,33.33%,14.29%,18.42%,38.10%,12.50%,26.67%
24195,Norman Powell,UCLA,2011,7.89%,0.00%,47.37%,22.22%,45.00%,44.74%,41.18%,25.76%
24195,Norman Powell,UCLA,2012,28.13%,66.67%,21.88%,28.57%,26.92%,50.00%,12.50%,20.51%
24195,Norman Powell,UCLA,2013,54.29%,57.89%,11.43%,50.00%,6.90%,34.29%,33.33%,17.65%
24195,Norman Powell,UCLA,2014,41.86%,38.89%,31.40%,22.22%,26.47%,26.74%,30.43%,22.12%
24196,Hunter Mickelson,Arkansas,2011,30.56%,72.73%,66.67%,41.67%,26.97%,2.78%,0.00%,25.00%
24196,Hunter Mickelson,Arkansas,2012,33.33%,75.00%,61.11%,31.82%,26.51%,5.56%,0.00%,28.57%
24196,Hunter Mickelson,Kansas,2014,57.14%,50.00%,42.86%,33.33%,27.27%,0.00%,NA,NA
24196,Hunter Mickelson,Kansas,2015,37.50%,66.67%,62.50%,20.00%,18.52%,0.00%,NA,0.00%
24197,Chris Jones (2),Louisville,2013,12.77%,66.67%,48.94%,52.17%,24.21%,38.30%,38.89%,19.15%
24197,Chris Jones (2),Louisville,2014,8.33%,71.43%,48.81%,29.27%,30.60%,42.86%,50.00%,33.64%
24198,Jonathan Holmes,Texas,2011,23.81%,50.00%,52.38%,54.55%,39.29%,23.81%,10.00%,25.00%
24198,Jonathan Holmes,Texas,2012,23.26%,50.00%,37.21%,43.75%,30.77%,39.53%,35.29%,37.78%
24198,Jonathan Holmes,Texas,2013,16.98%,88.89%,49.06%,30.77%,25.00%,33.96%,27.78%,22.22%
24198,Jonathan Holmes,Texas,2014,11.59%,62.50%,31.88%,22.73%,36.07%,56.52%,25.64%,32.77%
24199,Chasson Randle,Stanford,2011,15.84%,56.25%,29.70%,33.33%,34.88%,54.46%,32.73%,28.35%
24199,Chasson Randle,Stanford,2012,20.00%,42.86%,34.29%,29.17%,23.08%,45.71%,31.25%,20.78%
24199,Chasson Randle,Stanford,2013,20.00%,56.52%,34.78%,37.50%,31.75%,45.22%,40.38%,29.71%
24199,Chasson Randle,Stanford,2014,16.55%,43.48%,38.13%,41.51%,36.55%,45.32%,42.86%,27.51%
24200,Trevor Cooney,Syracuse,2012,9.09%,66.67%,24.24%,62.50%,36.36%,66.67%,18.18%,20.95%
24200,Trevor Cooney,Syracuse,2013,13.24%,33.33%,14.71%,60.00%,29.41%,72.06%,30.61%,23.90%
24200,Trevor Cooney,Syracuse,2014,13.56%,50.00%,30.51%,33.33%,27.27%,55.93%,33.33%,19.53%
24200,Trevor Cooney,Syracuse,2015,13.46%,57.14%,33.65%,20.00%,39.33%,52.88%,36.36%,22.54%
24201,D'Angelo Harrison,St. John's,2011,17.72%,28.57%,43.04%,26.47%,31.19%,39.24%,25.81%,17.32%
24201,D'Angelo Harrison,St. John's,2012,4.85%,40.00%,45.63%,40.43%,28.48%,49.51%,27.45%,25.37%
24201,D'Angelo Harrison,St. John's,2013,16.22%,33.33%,48.65%,29.63%,33.33%,35.14%,28.21%,23.21%
24201,D'Angelo Harrison,St. John's,2014,14.68%,50.00%,53.21%,36.21%,35.15%,32.11%,54.29%,20.59%
24202,Julian Royal,Georgia Tech,2011,2.86%,0.00%,62.86%,31.82%,39.29%,34.29%,41.67%,41.38%
24202,Julian Royal,Georgia Tech,2012,11.11%,100.00%,33.33%,0.00%,15.79%,55.56%,0.00%,35.71%
24202,Julian Royal,George Mason,2014,21.05%,100.00%,63.16%,41.67%,29.27%,15.79%,33.33%,33.33%
24202,Julian Royal,George Mason,2015,0.00%,NA,33.33%,0.00%,25.00%,66.67%,0.00%,40.00%
24203,"Gary Bell, Jr.",Gonzaga,2011,18.64%,45.45%,35.59%,42.86%,36.21%,45.76%,44.44%,25.23%
24203,"Gary Bell, Jr.",Gonzaga,2012,14.00%,57.14%,26.00%,15.38%,26.00%,60.00%,30.00%,25.64%
24203,"Gary Bell, Jr.",Gonzaga,2013,20.37%,45.45%,25.93%,21.43%,50.00%,53.70%,31.03%,23.77%
24203,"Gary Bell, Jr.",Gonzaga,2014,22.22%,75.00%,22.22%,62.50%,34.78%,55.56%,25.00%,16.26%
24204,Antwan Space,Florida State,2011,12.50%,100.00%,62.50%,40.00%,71.43%,25.00%,0.00%,66.67%
24204,Antwan Space,Texas A&M,2013,31.17%,58.33%,36.36%,28.57%,45.90%,32.47%,20.00%,51.02%
24204,Antwan Space,Texas A&M,2014,42.11%,75.00%,26.32%,20.00%,31.25%,31.58%,16.67%,37.50%
24204,Antwan Space,Massachusetts,2015,26.79%,33.33%,44.64%,8.00%,50.00%,28.57%,25.00%,41.03%
24205,Aaron Thomas,Florida State,2012,32.69%,70.59%,42.31%,18.18%,36.67%,25.00%,38.46%,33.33%
24205,Aaron Thomas,Florida State,2013,38.64%,32.35%,22.73%,40.00%,20.41%,38.64%,41.18%,32.38%
24205,Aaron Thomas,Florida State,2014,25.00%,66.67%,33.33%,25.00%,13.79%,41.67%,20.00%,29.41%
24206,Angelo Chol,Arizona,2011,57.14%,75.00%,42.86%,16.67%,16.22%,0.00%,NA,NA
24206,Angelo Chol,Arizona,2012,35.71%,100.00%,64.29%,44.44%,33.33%,0.00%,NA,NA
24206,Angelo Chol,San Diego State,2014,28.57%,75.00%,71.43%,35.00%,37.74%,0.00%,NA,NA
24206,Angelo Chol,San Diego State,2015,35.71%,30.00%,64.29%,38.89%,29.03%,0.00%,NA,NA
24207,Ryan Anderson (2),Boston College,2011,30.28%,48.48%,36.70%,40.00%,37.38%,33.03%,27.78%,42.86%
24207,Ryan Anderson (2),Boston College,2012,41.73%,60.38%,55.91%,28.17%,40.80%,2.36%,33.33%,21.43%
24207,Ryan Anderson (2),N/A,2013,47.66%,47.06%,46.73%,32.00%,41.67%,5.61%,50.00%,40.00%
24207,Ryan Anderson (2),Arizona,2015,40.00%,62.50%,58.33%,37.14%,23.03%,1.67%,100.00%,14.29%
24208,Sidiki Johnson,Arizona,2011,0.00%,NA,100.00%,0.00%,50.00%,0.00%,NA,NA
24208,Sidiki Johnson,Providence,2012,33.33%,50.00%,66.67%,25.00%,63.16%,0.00%,NA,NA
24209,Malcolm Brogdon,Virginia,2011,40.00%,45.45%,20.00%,27.27%,40.74%,40.00%,31.82%,32.35%
24209,Malcolm Brogdon,Virginia,2013,25.00%,50.00%,42.97%,32.73%,49.11%,32.03%,39.02%,37.61%
24209,Malcolm Brogdon,Virginia,2014,29.14%,47.73%,35.10%,33.96%,43.44%,35.76%,29.63%,43.90%
24209,Malcolm Brogdon,Virginia,2015,24.84%,52.50%,32.30%,42.31%,37.41%,42.86%,40.58%,41.82%
24210,Ty Johnson,Villanova,2011,15.79%,33.33%,57.89%,27.27%,23.91%,26.32%,0.00%,20.83%
24210,Ty Johnson,South Carolina,2013,33.33%,33.33%,40.74%,36.36%,30.56%,25.93%,42.86%,46.67%
24210,Ty Johnson,South Carolina,2014,12.22%,27.27%,43.33%,41.03%,39.39%,44.44%,27.50%,41.67%
24211,Carlton Brundidge,Michigan,2011,0.00%,NA,0.00%,NA,0.00%,100.00%,0.00%,50.00%
24211,Carlton Brundidge,Detroit-Mercy,2013,33.33%,61.11%,33.33%,22.22%,40.91%,33.33%,27.78%,28.57%
24211,Carlton Brundidge,Detroit-Mercy,2014,43.75%,28.57%,31.25%,20.00%,17.86%,25.00%,25.00%,26.67%
24211,Carlton Brundidge,Detroit-Mercy,2015,41.82%,60.87%,38.18%,33.33%,26.58%,20.00%,9.09%,30.56%
24212,Myles Mack,Rutgers,2011,10.00%,16.67%,30.00%,38.89%,33.33%,60.00%,30.56%,30.00%
24212,Myles Mack,Rutgers,2012,20.55%,40.00%,35.62%,30.77%,40.63%,43.84%,31.25%,27.35%
24212,Myles Mack,Rutgers,2013,14.67%,36.36%,29.33%,36.36%,27.16%,56.00%,42.86%,23.08%
24212,Myles Mack,Rutgers,2014,10.47%,55.56%,30.23%,15.38%,30.23%,59.30%,33.33%,31.29%
24213,Naadir Tharpe,Kansas,2011,9.09%,0.00%,36.36%,25.00%,50.00%,54.55%,16.67%,27.27%
24213,Naadir Tharpe,Kansas,2012,14.00%,42.86%,24.00%,58.33%,24.00%,62.00%,35.48%,36.47%
24213,Naadir Tharpe,Kansas,2013,4.35%,0.00%,43.48%,50.00%,33.33%,52.17%,37.50%,22.22%
24215,Ryan Boatright,Connecticut,2011,25.76%,47.06%,40.91%,37.04%,41.54%,33.33%,31.82%,33.33%
24215,Ryan Boatright,Connecticut,2012,8.70%,37.50%,46.74%,37.21%,36.13%,44.57%,31.71%,39.05%
24215,Ryan Boatright,Connecticut,2013,17.60%,22.73%,47.20%,32.20%,43.38%,35.20%,36.36%,38.60%
24215,Ryan Boatright,Connecticut,2014,14.94%,39.13%,24.03%,24.32%,32.74%,61.04%,44.68%,45.85%
24216,Anthony Gill,South Carolina,2011,22.22%,43.75%,63.89%,39.13%,47.92%,13.89%,10.00%,40.00%
24216,Anthony Gill,N/A,2013,50.68%,62.16%,49.32%,36.11%,52.17%,0.00%,NA,NA
24216,Anthony Gill,Virginia,2014,44.33%,72.09%,55.67%,40.74%,55.10%,0.00%,NA,0.00%
24216,Anthony Gill,Virginia,2015,56.64%,62.50%,43.36%,36.73%,49.49%,0.00%,NA,0.00%
24217,Mike Shaw,Illinois,2011,14.29%,0.00%,57.14%,25.00%,50.00%,28.57%,0.00%,33.33%
24217,Mike Shaw,Illinois,2012,NA,NA,NA,NA,0.00%,NA,NA,0.00%
24217,Mike Shaw,Bradley,2014,9.09%,100.00%,68.18%,26.67%,39.47%,22.73%,40.00%,45.45%
24218,Julien Lewis,Texas,2011,12.16%,11.11%,51.35%,36.84%,40.00%,36.49%,29.63%,26.21%
24218,Julien Lewis,Texas,2012,6.74%,83.33%,42.70%,34.21%,31.67%,50.56%,35.56%,29.80%
24218,Julien Lewis,Fresno State,2014,18.18%,68.75%,45.45%,40.00%,26.49%,36.36%,25.00%,32.65%
24218,Julien Lewis,Fresno State,2015,14.00%,57.14%,52.00%,26.92%,18.44%,34.00%,52.94%,25.00%
24219,Andre Hollins,Minnesota,2011,16.67%,35.71%,34.52%,24.14%,37.18%,48.81%,26.83%,35.34%
24219,Andre Hollins,Minnesota,2012,6.48%,71.43%,29.63%,31.25%,26.89%,63.89%,39.13%,36.32%
24219,Andre Hollins,Minnesota,2013,12.05%,60.00%,36.14%,26.67%,31.91%,51.81%,32.56%,26.38%
24219,Andre Hollins,Minnesota,2014,7.23%,66.67%,33.73%,35.71%,23.93%,59.04%,34.69%,24.62%
24220,Jabril Trawick,Georgetown,2011,47.83%,45.45%,21.74%,40.00%,45.45%,30.43%,28.57%,30.43%
24220,Jabril Trawick,Georgetown,2012,37.50%,40.00%,12.50%,20.00%,29.41%,50.00%,30.00%,35.09%
24220,Jabril Trawick,Georgetown,2013,44.19%,42.11%,11.63%,0.00%,31.25%,44.19%,31.58%,43.18%
24220,Jabril Trawick,Georgetown,2014,48.78%,70.00%,4.88%,0.00%,13.33%,46.34%,31.58%,27.14%
24221,Joseph Uchebo,Pittsburgh,2013,100.00%,50.00%,0.00%,NA,0.00%,0.00%,NA,NA
24221,Joseph Uchebo,Pittsburgh,2014,50.00%,50.00%,50.00%,50.00%,33.33%,0.00%,NA,NA
24221,Joseph Uchebo,Charlotte,2015,48.15%,66.67%,51.85%,45.24%,33.60%,0.00%,NA,NA
24222,Nnanna Egwu,Illinois,2011,26.67%,50.00%,73.33%,9.09%,29.73%,0.00%,NA,NA
24222,Nnanna Egwu,Illinois,2012,19.35%,50.00%,80.65%,30.00%,30.67%,0.00%,NA,0.00%
24222,Nnanna Egwu,Illinois,2013,6.98%,83.33%,79.07%,36.76%,45.33%,13.95%,16.67%,52.17%
24222,Nnanna Egwu,Illinois,2014,14.29%,57.14%,65.31%,28.13%,30.19%,20.41%,40.00%,30.30%
24223,Trey Burke,Michigan,2011,14.65%,69.57%,41.40%,38.46%,45.45%,43.95%,28.99%,47.92%
24223,Trey Burke,Michigan,2012,11.52%,45.45%,51.83%,44.44%,40.74%,36.65%,30.00%,38.25%
24224,Kedren Johnson,Vanderbilt,2011,29.17%,42.86%,29.17%,14.29%,24.14%,41.67%,10.00%,23.81%
24224,Kedren Johnson,Vanderbilt,2012,20.69%,38.89%,25.29%,36.36%,24.18%,54.02%,36.17%,32.19%
24224,Kedren Johnson,Memphis,2014,13.64%,50.00%,29.55%,46.15%,34.21%,56.82%,40.00%,38.46%
24224,Kedren Johnson,Memphis,2015,100.00%,100.00%,0.00%,NA,0.00%,0.00%,NA,0.00%
24225,Tracy Abrams,Illinois,2011,18.18%,62.50%,38.64%,41.18%,36.17%,43.18%,31.58%,54.29%
24225,Tracy Abrams,Illinois,2012,19.57%,66.67%,41.30%,36.84%,34.55%,39.13%,36.11%,31.58%
24225,Tracy Abrams,Illinois,2013,16.36%,55.56%,35.45%,33.33%,28.06%,48.18%,24.53%,47.75%
24225,Tracy Abrams,Illinois,2016,11.11%,44.44%,32.10%,38.46%,35.62%,56.79%,45.65%,36.22%
24226,Mikael Hopkins,Georgetown,2011,36.84%,14.29%,52.63%,40.00%,50.00%,10.53%,50.00%,100.00%
24226,Mikael Hopkins,Georgetown,2012,44.07%,34.62%,52.54%,29.03%,41.33%,3.39%,0.00%,100.00%
24226,Mikael Hopkins,Georgetown,2013,46.03%,34.48%,46.03%,24.14%,46.03%,7.94%,20.00%,62.50%
24226,Mikael Hopkins,Georgetown,2014,61.11%,45.45%,38.89%,28.57%,50.00%,0.00%,NA,NA
24227,Robert Brown,Virginia Tech,2011,18.82%,18.75%,16.47%,21.43%,25.93%,64.71%,29.09%,48.67%
24227,Robert Brown,Virginia Tech,2012,21.98%,35.00%,46.15%,26.19%,40.38%,31.87%,20.69%,29.29%
24227,Robert Brown,UAB,2014,21.69%,50.00%,30.12%,34.00%,36.50%,48.19%,36.25%,42.78%
24227,Robert Brown,UAB,2015,26.09%,41.67%,28.26%,19.23%,29.89%,45.65%,33.33%,26.42%
24228,Joe Coleman,Minnesota,2011,50.00%,55.00%,45.00%,38.89%,28.13%,5.00%,50.00%,25.00%
24228,Joe Coleman,Minnesota,2012,26.09%,72.22%,52.17%,22.22%,30.00%,21.74%,26.67%,55.56%
24228,Joe Coleman,Saint Mary's,2014,NA,NA,NA,NA,NA,NA,NA,0.00%
24229,Kevin Ware,Louisville,2011,0.00%,NA,66.67%,0.00%,22.22%,33.33%,0.00%,20.00%
24229,Kevin Ware,Louisville,2012,22.86%,25.00%,42.86%,6.67%,39.47%,34.29%,41.67%,40.00%
24229,Kevin Ware,Louisville,2013,50.00%,100.00%,50.00%,100.00%,16.67%,0.00%,NA,0.00%
24229,Kevin Ware,Georgia State,2014,25.32%,50.00%,44.30%,34.29%,44.30%,30.38%,29.17%,50.00%
24229,Kevin Ware,Georgia State,2015,13.70%,40.00%,46.58%,38.24%,28.57%,39.73%,34.48%,46.77%
24230,Paul Jesperson,Virginia,2011,7.14%,0.00%,21.43%,0.00%,37.50%,71.43%,20.00%,32.26%
24230,Paul Jesperson,Virginia,2012,12.00%,83.33%,16.00%,12.50%,27.59%,72.00%,38.89%,35.64%
24230,Paul Jesperson,Northern Iowa,2014,8.20%,60.00%,8.20%,60.00%,41.67%,83.61%,37.25%,49.04%
24230,Paul Jesperson,Northern Iowa,2015,11.11%,66.67%,25.93%,28.57%,40.38%,62.96%,41.18%,24.64%
24231,Shaquille Thomas,Cincinnati,2012,16.00%,25.00%,64.00%,31.25%,30.19%,20.00%,60.00%,62.50%
24231,Shaquille Thomas,Cincinnati,2013,21.05%,50.00%,71.93%,29.27%,37.27%,7.02%,75.00%,21.05%
24231,Shaquille Thomas,Cincinnati,2014,18.67%,50.00%,65.33%,34.69%,50.00%,16.00%,25.00%,66.67%
24231,Shaquille Thomas,Cincinnati,2015,18.18%,62.50%,50.00%,31.82%,34.92%,31.82%,35.71%,40.00%
24232,Terry Whisnant,Florida State,2011,0.00%,NA,12.50%,0.00%,16.67%,87.50%,14.29%,17.50%
24232,Terry Whisnant,Florida State,2012,11.54%,33.33%,11.54%,66.67%,15.79%,76.92%,25.00%,22.22%
24232,Terry Whisnant,East Carolina,2014,7.14%,50.00%,14.29%,33.33%,19.05%,78.57%,37.88%,31.73%
24233,Amir Garrett,St. John's,2011,56.00%,42.86%,28.00%,28.57%,36.84%,16.00%,25.00%,25.00%
24233,Amir Garrett,St. John's,2012,37.84%,50.00%,48.65%,27.78%,28.57%,13.51%,60.00%,50.00%
24234,Pat Connaughton,Notre Dame,2011,20.00%,50.00%,15.00%,0.00%,36.00%,65.00%,35.90%,34.51%
24234,Pat Connaughton,Notre Dame,2012,23.08%,72.22%,16.67%,7.69%,54.17%,60.26%,42.55%,33.10%
24234,Pat Connaughton,Notre Dame,2013,20.75%,68.18%,18.87%,25.00%,31.75%,60.38%,32.81%,31.84%
24234,Pat Connaughton,Notre Dame,2014,25.23%,55.56%,13.08%,50.00%,40.00%,61.68%,33.33%,33.00%
24235,Aaron Ross,Texas Tech,2013,34.38%,72.73%,37.50%,50.00%,38.71%,28.13%,33.33%,45.00%
24235,Aaron Ross,Texas Tech,2014,20.00%,80.00%,48.00%,25.00%,50.00%,32.00%,12.50%,42.11%
24235,Aaron Ross,Texas Tech,2015,22.86%,62.50%,38.57%,40.74%,40.30%,38.57%,33.33%,32.93%
24235,Aaron Ross,Texas Tech,2016,8.16%,25.00%,59.18%,37.93%,51.79%,32.65%,56.25%,22.22%
24236,Jarrod Uthoff,Iowa,2013,28.57%,66.67%,52.38%,18.18%,14.67%,19.05%,50.00%,10.00%
24236,Jarrod Uthoff,Iowa,2014,14.08%,50.00%,50.70%,44.44%,23.08%,35.21%,28.00%,18.94%
24236,Jarrod Uthoff,Iowa,2015,14.68%,68.75%,55.96%,31.15%,29.19%,29.36%,40.63%,18.50%
24237,C.J. Barksdale,Virginia Tech,2011,43.33%,38.46%,56.67%,35.29%,53.13%,0.00%,NA,NA
24237,C.J. Barksdale,Virginia Tech,2012,32.26%,60.00%,67.74%,33.33%,34.43%,0.00%,NA,NA
24237,C.J. Barksdale,Virginia Tech,2013,30.23%,46.15%,48.84%,52.38%,52.50%,20.93%,22.22%,47.37%
24238,Damien Leonard,South Carolina,2011,1.20%,0.00%,27.71%,34.78%,60.53%,71.08%,33.90%,37.11%
24238,Damien Leonard,South Carolina,2012,7.50%,0.00%,32.50%,38.46%,30.95%,60.00%,29.17%,32.43%
24241,Andre Drummond,Connecticut,2011,49.25%,81.82%,50.75%,23.53%,35.42%,0.00%,NA,0.00%
24242,DaJuan Coleman,Syracuse,2012,42.86%,83.33%,57.14%,25.00%,15.69%,0.00%,NA,NA
24242,DaJuan Coleman,Syracuse,2013,75.00%,100.00%,25.00%,0.00%,25.00%,0.00%,NA,NA
24242,DaJuan Coleman,Syracuse,2015,75.00%,52.38%,25.00%,42.86%,26.92%,0.00%,NA,NA
24242,DaJuan Coleman,Syracuse,2016,28.57%,75.00%,71.43%,60.00%,34.48%,0.00%,NA,0.00%
24243,Isaiah Austin,Baylor,2012,25.00%,56.67%,54.17%,33.85%,40.63%,20.83%,24.00%,27.78%
24243,Isaiah Austin,Baylor,2013,23.21%,61.54%,60.71%,44.12%,43.59%,16.07%,44.44%,27.69%
24244,Cameron Ridley,Texas,2012,48.28%,78.57%,51.72%,46.67%,26.32%,0.00%,NA,NA
24244,Cameron Ridley,Texas,2013,60.00%,59.26%,40.00%,27.78%,18.37%,0.00%,NA,NA
24244,Cameron Ridley,Texas,2014,45.45%,73.33%,54.55%,22.22%,31.58%,0.00%,NA,NA
24244,Cameron Ridley,Texas,2015,45.00%,66.67%,55.00%,36.36%,35.48%,0.00%,NA,NA
24245,Shabazz Muhammad,UCLA,2012,12.35%,40.00%,58.02%,46.81%,21.46%,29.63%,54.17%,23.53%
24246,Grant Jerrett,Arizona,2012,12.00%,66.67%,38.00%,26.32%,39.58%,50.00%,28.00%,31.65%
24247,Brandon Ashley,Arizona,2012,22.22%,60.00%,77.78%,45.71%,32.41%,0.00%,NA,0.00%
24247,Brandon Ashley,Arizona,2013,34.04%,50.00%,53.19%,36.00%,30.12%,12.77%,33.33%,20.69%
24247,Brandon Ashley,Arizona,2014,35.29%,53.33%,57.65%,44.90%,31.82%,7.06%,33.33%,16.67%
24248,Kaleb Tarczewski,Arizona,2012,56.76%,80.95%,43.24%,25.00%,23.88%,0.00%,NA,NA
24248,Kaleb Tarczewski,Arizona,2013,47.17%,80.00%,52.83%,39.29%,30.11%,0.00%,NA,NA
24248,Kaleb Tarczewski,Arizona,2014,58.82%,66.67%,41.18%,52.38%,25.93%,0.00%,NA,NA
24248,Kaleb Tarczewski,Arizona,2015,51.28%,65.00%,48.72%,36.84%,37.25%,0.00%,NA,NA
24249,Amile Jefferson,Duke,2012,52.17%,75.00%,47.83%,36.36%,42.31%,0.00%,NA,NA
24249,Amile Jefferson,Duke,2013,84.09%,70.27%,15.91%,28.57%,24.14%,0.00%,NA,NA
24249,Amile Jefferson,Duke,2014,75.00%,71.43%,25.00%,57.14%,21.21%,0.00%,NA,NA
24249,Amile Jefferson,Duke,2015,70.59%,91.67%,29.41%,40.00%,55.56%,0.00%,NA,NA
24249,Amile Jefferson,Duke,2016,67.80%,70.00%,32.20%,31.58%,37.25%,0.00%,NA,NA
24250,Rodney Purvis,NC State,2012,17.39%,50.00%,28.26%,38.46%,20.97%,54.35%,28.00%,32.05%
24250,Rodney Purvis,Connecticut,2014,12.98%,64.71%,30.53%,37.50%,44.44%,56.49%,32.43%,49.66%
24250,Rodney Purvis,Connecticut,2015,15.22%,35.71%,28.26%,34.62%,37.68%,56.52%,28.85%,30.77%
24250,Rodney Purvis,Connecticut,2016,7.43%,27.27%,31.08%,28.26%,45.54%,61.49%,34.07%,40.27%
24252,Gary Harris,Michigan State,2012,25.35%,72.22%,32.39%,39.13%,30.67%,42.25%,36.67%,20.55%
24252,Gary Harris,Michigan State,2013,17.58%,37.50%,30.77%,42.86%,26.42%,51.65%,42.55%,21.27%
24253,Shaq Goodwin,Memphis,2012,52.17%,62.50%,43.48%,25.00%,31.25%,4.35%,0.00%,40.00%
24253,Shaq Goodwin,Memphis,2013,50.85%,73.33%,47.46%,39.29%,37.84%,1.69%,100.00%,100.00%
24253,Shaq Goodwin,Memphis,2014,45.00%,55.56%,46.67%,50.00%,44.44%,8.33%,20.00%,29.41%
24253,Shaq Goodwin,Memphis,2015,50.00%,60.71%,46.43%,38.46%,24.76%,3.57%,0.00%,16.67%
24254,Tony Parker,UCLA,2012,52.94%,55.56%,47.06%,25.00%,57.14%,0.00%,NA,NA
24254,Tony Parker,UCLA,2013,82.35%,64.29%,17.65%,0.00%,15.38%,0.00%,NA,NA
24254,Tony Parker,UCLA,2014,50.91%,57.14%,49.09%,29.63%,31.03%,0.00%,NA,NA
24254,Tony Parker,UCLA,2015,56.76%,42.86%,43.24%,43.75%,23.88%,0.00%,NA,NA
24255,Alex Murphy,Duke,2012,50.00%,80.00%,0.00%,NA,0.00%,50.00%,0.00%,20.83%
24255,Alex Murphy,Duke,2013,NA,NA,NA,NA,NA,NA,NA,0.00%
24255,Alex Murphy,Florida,2014,40.00%,60.00%,12.00%,0.00%,33.33%,48.00%,8.33%,36.36%
24255,Alex Murphy,Florida,2015,20.00%,100.00%,40.00%,50.00%,50.00%,40.00%,0.00%,50.00%
24255,Alex Murphy,Northeastern,2016,37.50%,58.33%,7.81%,20.00%,15.15%,54.69%,31.43%,28.93%
24256,Perry Ellis,Kansas,2012,38.89%,35.71%,61.11%,40.91%,34.38%,0.00%,NA,0.00%
